T_K,P_atm,mu_Pa_s,kappa_W_mK,kappa_H_W_mK,kappa_e_W_mK,kappa_int_W_mK,kappa_reac_W_mK,sigma_S_m,nu_e_1_s,Astar_e,Bstar_e,Cstar_e,cp_frozen_J_kgK,cp_reac_J_kgK,kappa_reac_grad_mass_W_mK,kappa_reac_grad_mole_W_mK,kappa_reac_cp_W_mK
300.0,0.1,2.436850901212033e-05,0.01901951360348182,0.01901951360348182,1.0949770466101614e-130,0.0,4.3189958778099855e-79,2.2349227257649524e-125,8335588639.409805,1.0,1.0,1.0,520.3303874417475,-8.755478120292537e-09,4.3189958778099855e-79,4.318995634584695e-79,0.0
500.0,0.1,3.4061775453405805e-05,0.026585065227937205,0.026585065227937205,3.6590829125456834e-77,0.0,2.2214355754866017e-56,4.579936485922781e-72,4134389389.046416,1.0,1.0,1.0,520.3303874417473,-8.755478120292537e-09,2.2214355754866017e-56,2.2214353669997656e-56,0.0
700.0,0.1,4.239956365907874e-05,0.0330926720791349,0.0330926720791349,4.5675268387512366e-54,0.0,1.5280779296484587e-43,3.761883445518916e-49,2723540244.8508635,1.0,1.0,1.0,520.3303874417475,-8.755478120292537e-09,1.5280779296484587e-43,1.5280777289075112e-43,0.0
900.0,0.1,4.992973505324119e-05,0.03896993757767598,0.03896993757767598,1.9049740642848387e-40,0.0,2.441919592827764e-35,4.539263244739831e-36,984154774.1998105,1.0,1.0,1.0,520.3303874417475,-8.755364433454815e-09,2.441919592827764e-35,2.4419191804875626e-35,0.0
1100.0,0.1,5.690703261320665e-05,0.04441568749168588,0.04441568749168588,8.49547625197067e-33,0.0,1.2325357661535419e-29,4.802723011062897e-28,1043307397.1959444,1.0,1.0,1.0,520.3303874417471,-8.755137059779372e-09,1.2325357661535419e-29,1.2325355118460362e-29,0.0
1300.0,0.1,6.347442238075675e-05,0.04954150618503144,0.04954150618503144,5.059718922094101e-27,0.0,1.9512042877401162e-25,2.295078750309443e-22,825175648.2763951,1.0,1.0,1.0,520.3303874417476,-8.755591807130259e-09,1.9512042877401162e-25,1.9512038120702846e-25,0.0
1500.0,0.1,6.972166902565854e-05,0.054417454585810404,0.054417454585810404,6.234689695897383e-23,0.0,3.271946109591096e-22,2.919480760734497e-18,804171518.6896472,1.0,1.0,1.0,520.3303874417479,-8.755932867643423e-09,3.271946109591096e-22,3.2719451894368093e-22,0.0
1700.0,0.1,7.570954814605521e-05,0.05909096777981601,0.05909096777981601,1.0492356705299256e-19,0.0,1.1769861055388696e-19,4.367243915947673e-15,729421209.7794257,1.0,1.0000000000000002,1.0,520.3303874417473,-8.755364433454815e-09,1.1769861055388696e-19,1.1769857304806017e-19,0.0
1900.0,0.1,8.148150608999238e-05,0.06359595544971564,0.06359595544971558,3.679682705843359e-17,0.0,1.406641482333168e-17,1.370722919560226e-12,693558341.8273178,1.000000000000001,1.0000000000000016,0.9999999999999881,520.3303874417473,-8.754227565077599e-09,1.406641482333168e-17,1.4066409814444448e-17,0.0
2100.0,0.1,8.706990230728254e-05,0.06795767400310149,0.06795767400309653,4.201653490938433e-15,0.0,7.431688641043263e-16,1.415595981651336e-10,679124809.9493464,1.0000000000000921,1.0000000000001232,0.9999999999989417,520.330387441747,-8.707274901098572e-09,7.431688641043263e-16,7.431685716597056e-16,0.0
2300.0,0.1,9.249962462576426e-05,0.07219554827984213,0.07219554827961167,2.0938333235902453e-13,0.0,2.107964301899626e-14,6.438871128696115e-09,678260495.5892322,1.0000000000036555,1.0000000000048959,0.9999999999579907,520.3303874417472,-7.469452611985616e-09,2.107964301899626e-14,2.1079633935135057e-14,0.0
2500.0,0.1,9.779031440895311e-05,0.07632490828446933,0.07632490827669286,5.5622183100881444e-12,0.0,2.2142584663756213e-12,1.5732680795615488e-07,686242685.7853749,1.0000000000788314,1.0000000001055878,0.9999999990940163,520.3303874417542,1.2649479685933329e-08,3.679948908575829e-13,3.6799471850779257e-13,1.8462635755180383e-12
2700.0,0.1,0.0001029578042375329,0.0803581113846573,0.0803581112536022,9.068888956326901e-11,0.0,4.0366208371449985e-11,2.374760947240276e-06,700046516.9020584,1.0000000010603398,1.000000001420236,0.9999999878138333,520.3303874418646,2.3428242457157467e-07,4.364411348562297e-12,4.364409141195727e-12,3.600179702288769e-11
2900.0,0.1,0.00010801508436454537,0.08430529741312197,0.08430529604543709,1.0049815827015286e-09,3.364690782733013e-15,3.6269994608853914e-10,2.4499072412857557e-05,717677870.6067443,1.0000000098279622,1.0000000131637303,0.9999998870501715,520.330387443072,2.0150704358457006e-06,3.7837254852159244e-11,3.7837234299555835e-11,3.248626912363799e-10
3100.0,0.1,0.00011297297418407769,0.08817491775877592,0.08817490714147327,8.163158682032675e-09,3.394547670365197e-14,2.454110032429504e-09,0.00018614978400684673,737798983.5638665,1.0000000675700986,1.000000090504475,0.9999992234370783,520.3303874527708,1.3051113000983605e-05,2.534786113345764e-10,2.534784641630086e-10,2.2006314210949276e-09
3300.0,0.1,0.00011784060192088738,0.09197413389143934,0.09197406908079765,5.1455316485914434e-08,2.1429721850000926e-13,1.3355110912165595e-08,0.0011022229990203033,759503675.9890684,1.0000003642896835,1.0000004879354523,0.9999958133276863,520.3303875130836,6.814426785695105e-05,1.369795178253224e-09,1.3697943317859416e-09,1.1985315733912371e-08
3500.0,0.1,0.00012262575553607214,0.09570918392608711,0.0957088603326315,2.629792686906826e-07,1.0781500413819697e-12,6.061310876999387e-08,0.005311315227467117,782180681.0570565,1.0000016071511542,1.0000021526440641,0.9999815294927575,520.3303878163905,0.0002974278633018912,6.176815553764037e-09,6.1768115106270176e-09,5.443629321622983e-08
3700.0,0.1,0.00012733514466288322,0.09938588126229334,0.09938451773606945,1.1277077358269744e-06,4.55855286519499e-12,2.3581392951513048e-07,0.02154519059654565,805437625.6036246,1.0000059980652398,1.0000080339049013,0.999931066031241,520.3303890930246,0.0011151394828630146,2.3878933441018957e-08,2.3878917030085732e-08,2.1193499607411153e-07
3900.0,0.1,0.0001319745994898296,0.10301056428604369,0.10300559172744309,4.168600858159097e-06,1.6675630506186033e-11,8.039410668088746e-07,0.07556383549357924,829078281.5134915,1.0000194396930782,1.000026037837079,0.999776585425171,520.3303937154668,0.0036707534678726006,8.088700897545721e-08,8.088695203769977e-08,7.230540578334173e-07
4100.0,0.1,0.00013654922389602327,0.1065920826108251,0.10657606586171882,1.3571294098772614e-05,5.409142524252896e-11,2.445400916079056e-06,0.23405710854872172,853140356.9172232,1.0000558643992281,1.0000748256734187,0.9993579671782143,520.3304084366109,0.010799841312973513,2.4434128997944065e-07,2.443411271574436e-07,2.201059626099615e-06
4300.0,0.1,0.00014106351465597577,0.1101457688380144,0.11009944985115348,3.9582910939440173e-05,1.5861709216701624e-10,6.735917304378108e-06,0.6512368932285116,877958094.3088593,1.0001454610095475,1.000194951718707,0.9983767402537563,520.3304504241221,0.02882264785728239,6.675232619306707e-07,6.675229484300131e-07,6.068394042447437e-06
4500.0,0.1,0.0001455214549483884,0.11370070182288217,0.11357885254811033,0.00010483841455355824,4.2678772829496476e-10,1.701043343055587e-05,1.6497783480788013,904253150.5628899,1.000346446297775,1.0004648515085632,0.9963510002063574,520.3305592795151,0.07064180788313479,1.6673010972151118e-06,1.6673013409542966e-06,1.5343132333340756e-05
4700.0,0.1,0.00014992658800308894,0.11731153083558823,0.11701703942531556,0.00025470323840337365,1.0670933867946006e-09,3.978710477590962e-05,3.8448488689657196,933497510.1194942,1.0007575635042256,1.0010174328338663,0.9924107355833053,520.3308189878721,0.16065959784975803,3.836141588502715e-06,3.836148415249015e-06,3.59509631874069e-05
4900.0,0.1,0.00015428207504526189,0.12107507618384117,0.12041647779918287,0.0005716684288309827,2.5080449973091652e-09,8.69274477823206e-05,8.306582486685702,968108339.2099916,1.001534225996831,1.0020621339744695,0.9852897131220808,520.3313951171733,0.3420453030585122,8.164075968361303e-06,8.164122931974093e-06,7.876337181395929e-05
5100.0,0.1,0.00015859074041388766,0.12514852674069343,0.12377937204019426,0.0011904940193291761,5.5934810466672375e-09,0.0001786550876889381,16.722324446487242,1011834769.4850894,1.0028949160447187,1.0038936069103173,0.9732978436887628,520.332593874021,0.6868205350812104,1.6082882927756504e-05,1.608312346160776e-05,0.00016257220476118158
5300.0,0.1,0.0001628551055309211,0.1297598399678537,0.12710769007500733,0.0023046758904422984,1.1927323451776732e-08,0.00034746207508060925,31.463199856494132,1070165419.1398339,1.0051076229896265,1.0068735693661057,0.9544839655533006,520.3349506924642,1.3090945107452399,2.926397851737707e-05,2.9265026102440588e-05,0.0003181980965632322
5500.0,0.1,0.00016707741187802638,0.13519475330409814,0.13040318129200845,0.004148634897620749,2.4472988626722486e-08,0.0006429126414803154,55.40382151147836,1150755318.4075928,1.0084414804096535,1.0113657041781137,0.9270601048819433,520.3393567267447,2.381585890551605,4.9018303034663515e-05,4.9022360456009e-05,0.0005938943384456519
5700.0,0.1,0.00017125963068411715,0.14175677194068118,0.1336673840279387,0.006951740541214873,4.856988367918928e-08,0.001137598801643927,91.36402516204305,1263868248.966976,1.0131226437144054,1.0176899484222526,0.8901055695908826,520.3472317866284,4.1553361623919045,7.54475530773686e-05,7.54618152127841e-05,0.0010621512485665585
5900.0,0.1,0.00017540345270088107,0.149704778502875,0.13690161738380835,0.010868152080942588,9.36195186574206e-08,0.001934915418605421,141.23470482049694,1422761391.792725,1.0191990081666387,1.0259252911729124,0.8442209484706772,520.3607519495864,6.982279628344827,0.00010698115810585817,0.00010702714420767152,0.001827934260499563
6100.0,0.1,0.0001795102439688859,0.1591903770288867,0.14010694614142094,0.01590404726340546,1.7581754913502986e-07,0.0031792078065111568,205.17295589583964,1643960752.0379603,1.0264243447410304,1.0357474324225728,0.791781671220377,520.3831393112575,11.340113794072977,0.00014089945754254763,0.00014103640582965572,0.003038308348968609
6300.0,0.1,0.00018358094115241452,0.17028648905969848,0.1432840975602643,0.02193421350850602,3.224712191802486e-07,0.005067855519708989,281.36678739256445,1947605075.533177,1.0343657595254914,1.0466049289553627,0.7365303586677452,520.4190201958423,17.858733297690947,0.000174537509887994,0.00017491644396896403,0.004893318009820995
6500.0,0.1,0.00018761584155412136,0.1830193951502741,0.14643329351065304,0.02872131191960141,5.786486333483708e-07,0.00786421107138631,366.5930111753802,2357622390.7061014,1.0424644713268676,1.0577328592340014,0.6824785225226515,520.4748567814368,27.347364889448613,0.0002063022982198433,0.00020728237316162057,0.007657908773166466
6700.0,0.1,0.00019161421895935791,0.19754467362075165,0.1495539406516938,0.03607919013787541,1.0171477219216269e-06,0.011910525683460505,457.0730215239403,2902827593.517995,1.050228589096716,1.068585149762911,0.6329114853238178,520.5594555988393,40.82147659343104,0.0002359356025381169,0.00023831914069657458,0.011674590080922389
6900.0,0.1,0.00019557365972409086,0.21410786400908072,0.15264408828762116,0.04382096507869095,1.753042198642584e-06,0.017641057600569932,549.4111107833891,3616824894.544346,1.0573290989242512,1.078584863109073,0.5897272430713457,520.6845548798578,59.52852951394357,0.00026462121991993224,0.00027010131373108887,0.01737643638065
7100.0,0.1,0.0001994889951816905,0.23316330634258545,0.15569954120139132,0.05186602036643046,2.964318115893948e-06,0.025594780456647783,640.6419923848654,4541363979.6031065,1.0636038466777853,1.087490964645304,0.5535492838878819,520.8654912554606,84.97168764181617,0.0002949049543218468,0.0003068707416542322,0.025299875502325937
7300.0,0.1,0.0002033506756290118,0.2552418383739936,0.1587124767845618,0.060096780902726486,4.920308881641902e-06,0.03642766037782366,727.8550490649849,5731647237.154916,1.0690263934963395,1.0952501307754552,0.5240778577940531,521.1219448666201,118.93068585452193,0.00033118974866128603,0.00035609349665107555,0.036096470629162374
7500.0,0.1,0.00020714249273364932,0.2812502046343238,0.1616694459410796,0.06864963003346129,8.019672210187245e-06,0.050923108987572754,807.2898096717694,7268774914.920743,1.073658582299487,1.1021434268130126,0.5005827599416207,521.4787604557731,163.47916064546712,0.0003806002620402757,0.0004301400355097709,0.05054250872553248
7700.0,0.1,0.00021083847470764733,0.31208878857948197,0.16454854518909232,0.07752817490710398,1.2839357466875338e-05,0.0699992291258188,873.2243002624051,9285258115.892952,1.0775943352118569,1.1082426388173332,0.4820957563453539,521.9668402365199,220.99784838580058,0.00045467798054403747,0.0005490513439011001,0.06954455114527476
7900.0,0.1,0.00021439900497297228,0.34868311973252897,0.1673157056843527,0.08663781308660955,2.0195163443986483e-05,0.09470940579812273,914.8920243066548,12044558947.298304,1.0809369395104014,1.1135185632073243,0.46762068661060135,522.624102110578,294.1831218630688,0.0005712436976979627,0.0007436239740874996,0.09413816210042476
8100.0,0.1,0.00021776654175936997,0.39218324579509045,0.16992031766083662,0.09599950210255563,3.121275791519692e-05,0.12623221327378303,909.014458122241,16222928697.672174,1.0837874344367575,1.1180995447283912,0.4563220885074264,523.496493679349,386.0503275767237,0.0007563255402680214,0.0010584314304661418,0.125475887733515
8300.0,0.1,0.00022086122147217115,0.44381949408567184,0.1722903765341851,0.10563659741486903,4.7404996266643194e-05,0.16584511514035105,795.1999269232018,24461978505.547565,1.086233814145614,1.1221001638803496,0.4475082308070823,524.6390480009118,499.9312499548146,0.001045971084933674,0.001554100227840359,0.16479914405541737
8500.0,0.1,0.00022357717993862027,0.5048450801606745,0.1743279203412389,0.11557182085560613,7.074674330282054e-05,0.21487459222052663,352.91062593649406,71726357630.69058,1.0883493478073705,1.125617590713033,0.440625675518645,526.1169605361781,639.4646909843368,0.0014869619509754928,0.002307196365753265,0.21338763026955113
8700.0,0.1,0.00022578062548073995,0.6325948504099712,0.1759059291111031,0.1819697723531652,0.00010373208229807783,0.27461541686340485,0.0,0.0,1.0902040433461522,1.1287701114433193,0.43525890083145785,528.0066573286027,808.5785159454896,0.0021357704746568984,0.003406443762267186,0.27247964638874794
8900.0,0.1,0.0002273110500279985,0.714249875624251,0.17686849028708315,0.1910182059624165,0.0001493914978133376,0.3462137878769381,6625.395773002202,6230088789.748765,1.0918908304506643,1.1317876005070053,0.4311530085574505,530.3968110737318,1011.4604485147496,0.003055375020702182,0.004944656989018802,0.3431584128562359
9100.0,0.1,0.0002279844359956023,0.8188231491830205,0.1770338677509244,0.21106811332391798,0.0002112378169908767,0.43050993029118717,3714.2780842612365,13943102889.418575,1.0933879379965217,1.1345069741234546,0.4279451302874462,533.3892429793581,1252.513239236218,0.0043106401056736895,0.0070075353099290924,0.4261992901855135
9300.0,0.1,0.00022760356862945187,0.9382950034973242,0.17620615163694975,0.2339461756308024,0.00029310855118395903,0.5278495676783881,3261.572999419702,19702901507.967247,1.0947258640382196,1.1370345074853567,0.42546578066233726,537.0996224965044,1536.2873911831452,0.005962265180306642,0.009660480042166726,0.5218873024980815
9500.0,0.1,0.00022597150227468755,1.0709335731950596,0.17419240129295213,0.2584670589272365,0.0003988712296093681,0.6378752417452614,3152.5964507930184,25025835601.11936,1.0959281321452856,1.1394220488075497,0.42356990300312847,541.657842185172,1867.3812118622982,0.008061901798918112,0.012937475091258257,0.6298133399463434
9700.0,0.1,0.00022290932335808304,1.2146268189065417,0.17082612093228963,0.28394621095892925,0.0005319737733983838,0.7593225132419243,3156.125516873175,30375799508.340553,1.0970119134615945,1.1416020960027218,0.4220923056888188,547.2078991882508,2250.2934262052895,0.010648804297799937,0.016833588676647967,0.7486737089441244
9900.0,0.1,0.00021827697136315958,1.3667396364125386,0.1659946089946571,0.3101942653983452,0.0006948503811276546,0.8898559116384087,3211.101074540767,35916840826.76089,1.0979917229190685,1.1435949846448923,0.42093943894378594,553.9070564227598,2689.20794508551,0.013748201759287813,0.021301819926265737,0.8761077098791209
10100.0,0.1,0.00021199354029917836,1.5236377187830255,0.15966415593610525,0.3371047002280434,0.000888231408176345,1.0259806312107005,3293.8329452334992,41711740642.094055,1.0988789593911616,1.145416733850909,0.4200382453825622,561.9239854760344,3187.684010615764,0.01737105096365675,0.026253875471727247,1.0086095802470438
10300.0,0.1,0.0002040538023490896,1.6814661313210375,0.1518969041518471,0.36539532108087314,0.0011104507577695288,1.163063455330548,3394.8870883130644,47747149050.67997,1.0996740199170396,1.1471765841620754,0.4194118405230293,571.4355121493719,3748.218909595743,0.02151372318163786,0.031563176642789965,1.14154973214891
10500.0,0.1,0.0001945396791433092,1.834004830847145,0.14285622083848995,0.39429316168763556,0.0013568947729018749,1.2954985535481176,3506.162470362386,54026080837.195694,1.1003928597346204,1.1487810482306406,0.41892954836253926,582.6215034675844,4371.647063507851,0.02615703554422646,0.03706943598722207,1.2693415180038912
10700.0,0.1,0.00018361989716309297,1.975154961548088,0.13279358262855404,0.4237397856614337,0.0016197234102805962,1.4170018698478195,3624.1811932242945,60501025557.51201,1.1010409680299107,1.1502363602186363,0.418554215707144,595.6573709604273,5056.342791863299,0.03126284975336375,0.042583441702337764,1.3857390200944557
10900.0,0.1,0.0001715409455800717,2.098634482029908,0.12202316904158367,0.4536870385176673,0.0018880070269099776,1.5210362674437474,3746.6748595244403,67103603509.61572,1.1016224817662374,1.1515479022559267,0.4182567883536784,610.7036545164993,5797.2112298509555,0.03676895983771282,0.0478933574879294,1.4842673076060346
11100.0,0.1,0.00015860857031614107,2.1984458413074206,0.11088782414509168,0.48408596002606213,0.0021483433917297606,1.601323713744537,3872.039288307019,73747617879.64427,1.1021405428813145,1.1527195710504379,0.4180138970891136,627.892251776143,6584.492297421235,0.042582057697335425,0.05277290055606707,1.5587416560472016
11300.0,0.1,0.00014516309039484527,2.269395151752342,0.09972421860413205,0.5148846932469725,0.0023859435420695487,1.652400296359168,3999.0604460069185,80332045101.08287,1.1025975289002685,1.1537541438326873,0.4178066876689683,647.309152277653,7402.476882031708,0.04856981759480786,0.056992378449431245,1.60383047876436
11500.0,0.1,0.00013155251688733938,2.307613168952447,0.08883385024286575,0.5460274122521209,0.002586083054645772,1.6701658234028147,4126.764354668949,86744823838.39377,1.1029952613732976,1.1546536365649804,0.41761995050636747,668.9741213937232,8228.348960798248,0.05455385979037742,0.06033309753587747,1.6156119636124373
11700.0,0.1,0.00011810743741043011,2.311033102209051,0.07846381958806109,0.577454188698224,0.002735736140826127,1.6523793577819401,4254.333876046118,92867742325.3679,1.1033352027068475,1.1554196687418234,0.4174414797556807,692.818736909219,9031.513813854846,0.06030629436209536,0.06260488938804083,1.5920730634198448
11900.0,0.1,0.00010512070551664662,2.279771760525043,0.06879815220943997,0.609101784639677,0.002825156432668074,1.5990466672432582,4381.0646221380985,98582469568.29425,1.1036186476190781,1.1560538412442267,0.4172616067881616,718.6655022454511,9773.911903531825,0.06555336133756268,0.06366542387212312,1.5334933059056954
12100.0,0.1,9.283357149487998e-05,2.2163455256979496,0.05995801255669281,0.6409053565318565,0.0028491482532286157,1.5126330083561716,4506.345329951458,103777503203.20761,1.1038469102099975,1.1565581229101796,0.41707286268006327,746.212239446838,10411.868500314846,0.069989816088609,0.06343876276499238,1.4426431922675627
12300.0,0.1,8.142850584021003e-05,2.125640350342687,0.05200798394115502,0.672800989492175,0.0028077919615863887,1.3980235849477707,4629.653907790359,108355510335.73909,1.1040215015090529,1.1569352280119718,0.4168697298389487,775.0270977913844,10899.874791495049,0.07330639372864728,0.061929590405609074,1.3247171912191233
12500.0,0.1,7.102795352734555e-05,2.0145647200289662,0.04496554498568966,0.7047288593266191,0.0027064544039810084,1.2621638613126764,4750.562805760286,112240261884.02156,1.104144286096818,1.157188952713857,0.4166484461991942,804.5595063239622,11196.241510311664,0.07522935134946142,0.059229228758011024,1.186934509963215
12700.0,0.1,6.16977371337865e-05,1.8913655642875526,0.0388114965215533,0.7366366678504127,0.002555034881292312,1.1133623650342945,4868.7482541942045,115382190913.81755,1.104217601634338,1.1573244279886796,0.4164068288603293,834.1704344182108,11269.838390090827,0.07556605677745969,0.05551039330460033,1.0377963082568349
12900.0,0.1,5.345371959374654e-05,1.7646801779029073,0.03349991684508986,0.7684828641412511,0.0023665561075670643,0.9603308408089991,4983.998389080414,117761639533.33302,1.1042443240945017,1.1573482449196963,0.41614408997630165,863.1811316096018,11106.375271851273,0.07424566247398655,0.05100985068198117,0.8860851783350125
13100.0,0.1,4.627046527817692e-05,1.6425004852600815,0.02896693602575764,0.8002391147703655,0.002155368834655084,0.8111390656293035,5096.216100964922,119389157151.6348,1.1042278659916818,1.1572684202482566,0.41586062756078757,890.9339801299584,10712.320105587354,0.0713419977273689,0.04600124764228601,0.7397970679019346
13300.0,0.1,4.009083517087802e-05,1.5312838166027576,0.025138092983584708,0.8318915703032391,0.0019353384599408287,0.672318814855993,5205.41396302724,120302741462.59862,1.1041721050007287,1.1570941954883842,0.41555778709653657,916.8543306737495,10114.959757513598,0.06706928590294534,0.040763287344677365,0.6052495289530476
13500.0,0.1,3.483563035070313e-05,1.4354129674255072,0.021934279865674172,0.8634406957454495,0.0017183724707905352,0.5483196193435931,5311.700687266807,120562526399.23315,1.1040812534936655,1.1568356955514976,0.41523760355632666,940.500646971893,9358.286448847091,0.06174975748085949,0.03554983657825085,0.4865698618627336
13700.0,0.1,3.0412553651358723e-05,1.3570930889554604,0.01927636391581571,0.8948997281626079,0.001513525323846144,0.44140347155319065,5415.260677898124,120243911069.46085,1.1039596912001421,1.1565035015172138,0.4149025435669252,961.5931571641532,8495.8280746251,0.05576193851997344,0.03056773821584618,0.3856415330332172
13900.0,0.1,2.6723929161938526e-05,1.2966310786463917,0.017088595062888973,0.9262920945574545,0.0013267343159544768,0.3519236547100938,5516.329731283938,119430323590.78728,1.1038117891049568,1.156108206439363,0.41455527081110216,980.0174355913608,7582.504411418187,0.04948438491781613,0.0259654461792332,0.30243926979227764
14100.0,0.1,2.367282775787587e-05,1.252944068271623,0.01530091765701713,0.9576482779890871,0.0011610743465978715,0.27883379827892096,5615.170362016365,118206684214.46759,1.103641751013029,1.1556600185850214,0.4141984539307469,995.8061262506411,6667.632386635935,0.04324915194807422,0.021832344905125152,0.23558464633084672
14300.0,0.1,2.116747957571751e-05,1.224122500686113,0.013850327840761126,0.9890026264443129,0.0010173290089064955,0.22025221739213244,5712.049662705732,116654269668.42972,1.1034534914058904,1.155168457041305,0.4138346275894253,1009.1066040704275,5790.436105600086,0.03731350395961444,0.01820610919317639,0.182938713432518
14500.0,0.1,1.9124068275871053e-05,1.207916857599582,0.012681446487216955,1.0203904867794495,0.0008946709558589404,0.1739502533770566,5807.2214440703165,114847249175.15515,1.1032505578617122,1.1546421590753946,0.4134661077210512,1020.1435470283733,4978.359639709653,0.031851015091014526,0.01508441620568363,0.1420992382860421
14700.0,0.1,1.746815528215059e-05,1.202085665359293,0.011746495570252579,1.0518458797500196,0.0007912977942103433,0.13770199224481033,5900.913160482572,112850804521.20966,1.1030360970211661,1.154088795862918,0.4130949544535433,1029.1837508258513,4247.651402246103,0.026957761977825817,0.01243763151244887,0.11074423026698453
14900.0,0.1,1.6135056634944876e-05,1.204600764612793,0.01100486359208002,1.0833997737146857,0.0007049409696594464,0.10949118633636798,5993.317168439542,110720531372.11732,1.102812856980828,1.1535150783699473,0.41272297215691345,1036.507573940592,3605.3233453794883,0.022667161911014297,0.010220155561518092,0.08682402442535368
